Date,Date,sunriseTime,sunsetTime,moonPhase,humidity,windSpeed,windBearing,cloudCover,uvIndex,temperatureMin,temperatureMax,precipType,precipIntensity,precipAccumulation,winningTime,iceThickness,flowVolume
0,1989-01-01,599687760.0,599702820.0,0.81,0.83,4.67,148.0,0.18,0.0,3.68,25.8,None,0.0,0.0,0,42.0,7600
1,1989-01-02,599774040.0,599789340.0,0.84,0.8,4.3,131.0,0.16,0.0,-8.27,24.93,None,0.0,0.0,0,42.0,7600
2,1989-01-03,599860380.0,599875920.0,0.88,0.69,2.26,104.0,0.22,0.0,-10.28,4.69,None,0.0,0.0,0,42.0,7600
3,1989-01-04,599946720.0,599962440.0,0.91,0.6,7.51,69.0,0.17,0.0,-16.58,7.67,None,0.0,0.0,0,42.0,7600
4,1989-01-05,600033000.0,600048960.0,0.94,0.71,7.3,78.0,0.13,0.0,2.57,14.7,None,0.0,0.0,0,42.0,7600
5,1989-01-06,600119280.0,600135540.0,0.98,0.69,10.3,66.0,0.13,0.0,5.76,17.79,None,0.0,0.0,0,42.0,7600
6,1989-01-07,600205560.0,600222120.0,0.02,0.84,2.7,298.0,0.22,0.0,2.79,9.71,None,0.0,0.0,0,42.0,7600
7,1989-01-08,600291840.0,600308640.0,0.05,0.82,4.2,76.0,0.1,0.0,-8.68,7.17,None,0.0,0.0,0,42.0,7600
8,1989-01-09,600378120.0,600395220.0,0.09,0.83,3.52,79.0,0.19,0.0,-4.24,3.84,None,0.0,0.0,0,42.0,7600
9,1989-01-10,600464400.0,600481800.0,0.13,0.76,10.79,74.0,0.11,0.0,-0.26,17.79,None,0.0,0.0,0,42.0,7600
10,1989-01-11,600550680.0,600568380.0,0.16,0.69,10.25,76.0,0.19,0.0,12.69,28.78,None,0.0,0.0,0,42.0,7600
11,1989-01-12,600636960.0,600654960.0,0.2,0.79,10.3,243.0,0.18,0.0,-4.27,16.7,None,0.0,0.0,0,42.0,7600
12,1989-01-13,600723240.0,600741540.0,0.24,0.72,2.51,267.0,0.39,0.0,-29.39,-4.29,None,0.0,0.0,0,42.0,7600
13,1989-01-14,600809460.0,600828120.0,0.27,0.61,2.32,293.0,0.0,0.0,-28.25,-13.22,None,0.0,0.0,0,42.0,7600
14,1989-01-15,600895740.0,600914700.0,0.31,0.61,2.05,259.0,0.05,0.0,-33.3,-20.19,None,0.0,0.0,0,42.0,7600
15,1989-01-16,600981960.0,601001340.0,0.34,0.61,3.5,275.0,0.01,0.0,-36.84,-26.35,None,0.0,0.0,0,42.0,7600
16,1989-01-17,601068240.0,601087920.0,0.38,0.62,1.76,296.0,0.03,0.0,-32.41,-26.24,None,0.0,0.0,0,42.0,7600
17,1989-01-18,601154460.0,601174500.0,0.41,0.59,2.12,106.0,0.02,0.0,-51.21,-31.37,None,0.0,0.0,0,42.0,7600
18,1989-01-19,601240680.0,601261080.0,0.45,0.63,1.58,240.0,0.03,0.0,-54.42,-43.27,None,0.0,0.0,0,42.0,7600
19,1989-01-20,601326960.0,601347720.0,0.48,0.69,1.17,100.0,0.0,0.0,-60.28,-49.12,None,0.0,0.0,0,42.0,7000
20,1989-01-21,601413180.0,601434300.0,0.51,0.63,1.9,180.0,0.0,0.0,-61.43,-51.16,None,0.0,0.0,0,42.0,7000
21,1989-01-22,601499400.0,601520880.0,0.54,0.615,0.0,0.0,0.0,0.0,-59.345,-49.715,None,0.0,0.0,0,42.0,7000
22,1989-01-23,601585620.0,601607520.0,0.57,0.615,1.21,96.0,0.0,0.0,-57.26,-48.27,None,0.0,0.0,0,42.0,7000
23,1989-01-24,601671840.0,601694100.0,0.6,0.6,1.74,257.0,0.0,0.0,-62.16,-47.12,None,0.0,0.0,0,42.0,7000
24,1989-01-25,601758060.0,601780740.0,0.63,0.54,3.46,269.0,0.09,0.0,-47.25,-38.09,None,0.0,0.0,0,42.0,7000
25,1989-01-26,601844280.0,601867320.0,0.66,0.4,3.51,247.0,0.0,0.0,-53.51,-45.24,None,0.0,0.0,0,42.0,7000
26,1989-01-27,601930500.0,601953960.0,0.69,0.375,2.57,269.0,0.0,0.0,-62.16,-50.19,None,0.0,0.0,0,42.0,6600
27,1989-01-28,602016720.0,602040540.0,0.72,0.35,3.47,252.0,0.0,0.0,-54.31,-43.08,None,0.0,0.0,0,42.0,6600
28,1989-01-29,602102940.0,602127120.0,0.75,0.32,3.01,93.0,0.0,0.0,-59.35,-43.16,None,0.0,0.0,0,42.0,6600
29,1989-01-30,602189160.0,602213760.0,0.79,0.35,1.6,96.0,0.0,0.0,-65.35,-47.03,None,0.0,0.0,0,42.0,6600
30,1989-01-31,602275380.0,602300340.0,0.82,0.34,2.02,249.0,0.0,0.0,-58.28,-40.32,None,0.0,0.0,0,42.0,6600
31,1989-02-01,602361600.0,602386980.0,0.85,0.41,4.27,82.0,0.0,0.0,-46.27,-9.81,None,0.0,0.0,0,42.0,6000
32,1989-02-02,602447820.0,602473560.0,0.89,0.55,8.46,74.0,0.0,0.0,-26.23,3.26,None,0.0,0.0,0,42.0,6000
33,1989-02-03,602534040.0,602560200.0,0.92,0.52,5.05,76.0,0.0,0.0,-27.34,1.55,None,0.0,0.0,0,42.0,6000
34,1989-02-04,602620200.0,602646780.0,0.96,0.56,2.62,273.0,0.0,0.0,-36.82,-8.32,None,0.0,0.0,0,42.0,6000
35,1989-02-05,602706420.0,602733360.0,1.0,0.53,1.96,238.0,0.0,0.0,-25.49,-6.35,None,0.0,0.0,0,42.0,6000
36,1989-02-06,602792640.0,602820000.0,0.04,0.63,1.77,146.0,0.1,0.0,-22.51,2.78,None,0.0,0.0,0,42.0,5800
37,1989-02-07,602878860.0,602906580.0,0.07,0.38,8.09,80.0,0.11,0.0,-3.14,15.78,None,0.0,0.0,0,42.0,5800
38,1989-02-08,602965020.0,602993220.0,0.11,0.73,6.52,87.0,0.28,0.0,14.74,23.83,None,0.0,0.0,0,42.0,5800
39,1989-02-09,603051240.0,603079800.0,0.15,0.83,7.12,89.0,0.1,0.0,16.78,25.92,None,0.0,0.0,0,42.0,5800
40,1989-02-10,603137460.0,603166380.0,0.19,0.77,5.2,89.0,0.07,0.0,15.44,24.93,None,0.0,0.0,0,42.0,5800
41,1989-02-11,603223620.0,603253020.0,0.22,0.81,7.81,231.0,0.26,0.0,22.7,36.52,None,0.0,0.0,0,42.0,5800
42,1989-02-12,603309840.0,603339600.0,0.26,0.89,6.68,236.0,0.22,0.0,23.81,34.6,None,0.0,0.0,0,42.0,5800
43,1989-02-13,603396060.0,603426180.0,0.29,0.9,2.9,95.0,0.02,0.0,2.43,24.82,None,0.0,0.0,0,42.0,5800
44,1989-02-14,603482220.0,603512820.0,0.33,0.88,1.63,263.0,0.28,0.0,0.71,13.71,None,0.0,0.0,0,42.0,5800
45,1989-02-15,603568440.0,603599400.0,0.36,0.87,2.06,55.0,0.22,0.0,7.77,22.64,None,0.0,0.0,0,42.0,5800
46,1989-02-16,603654600.0,603685980.0,0.39,0.74,8.79,70.0,0.0,0.0,11.74,26.86,None,0.0,0.0,0,42.0,5800
47,1989-02-17,603740820.0,603772620.0,0.43,0.63,9.65,67.0,0.03,0.0,18.75,27.72,None,0.0,0.0,0,42.0,5800
48,1989-02-18,603826980.0,603859200.0,0.46,0.78,3.05,98.0,0.04,0.0,-9.42,18.68,None,0.0,0.0,0,42.0,5800
49,1989-02-19,603913200.0,603945780.0,0.49,0.52,2.36,257.0,0.0,0.0,-16.71,13.84,None,0.0,0.0,0,42.0,5800
50,1989-02-20,603999360.0,604032420.0,0.52,0.57,2.48,31.0,0.0,0.0,-14.55,13.69,None,0.0,0.0,0,42.0,5800
51,1989-02-21,604085580.0,604119000.0,0.55,0.65,3.48,354.0,0.18,1.0,-1.33,22.64,None,0.0,0.0,0,42.0,5800
52,1989-02-22,604171800.0,604205580.0,0.58,0.73,5.84,252.0,0.22,1.0,-10.25,26.99,None,0.0,0.0,0,42.0,5800
