Date,Time
1917-04-30,11:30 AM
1918-05-11,9:33 AM
1919-05-03,2:33 PM
1920-05-11,10:46 AM
1921-05-11,6:42 AM
1922-05-12,1:20 PM
1923-05-09,2:00 AM
1924-05-11,3:10 PM
1925-05-07,6:32 PM
1926-04-26,4:03 PM
1927-05-13,5:42 AM
1928-05-06,4:25 PM
1929-05-05,3:41 PM
1930-05-08,7:03 PM
1931-05-10,9:23 AM
1932-05-01,10:15 AM
1933-05-08,7:30 PM
1934-04-30,2:07 PM
1935-05-15,1:32 PM
1936-04-30,12:58 PM
1937-05-12,8:04 PM
1938-05-06,8:14 PM
1939-04-29,1:26 PM
1940-04-20,3:27 PM
1941-05-03,1:50 AM
1942-04-30,1:28 PM
1943-04-28,7:22 PM
1944-05-04,2:08 PM
1945-05-16,9:41 AM
1946-05-05,4:40 PM
1947-05-03,5:53 PM
1948-05-13,11:13 AM
1949-05-14,12:39 PM
1950-05-06,4:14 PM
1951-04-30,5:54 PM
1952-05-12,5:04 PM
1953-04-29,3:54 PM
1954-05-06,6:01 PM
1955-05-09,2:13 PM
1956-05-01,11:24 PM
1957-05-05,9:30 AM
1958-04-29,2:56 PM
1959-05-08,11:26 AM
1960-05-02,7:12 PM
1961-05-05,11:31 AM
1962-05-12,11:23 PM
1963-05-05,6:25 PM
1964-05-20,11:41 AM
1965-05-07,7:01 PM
1966-05-08,12:11 PM
1967-05-04,11:55 AM
1968-05-08,9:26 AM
1969-04-28,12:28 PM
1970-05-04,10:37 AM
1971-05-08,9:31 PM
1972-05-10,11:56 AM
1973-05-04,11:59 AM
1974-05-06,3:44 PM
1975-05-10,1:49 PM
1976-05-02,10:51 AM
1977-05-06,12:46 PM
1978-04-30,3:18 PM
1979-04-30,6:16 PM
1980-04-29,1:16 PM
1981-04-30,6:44 PM
1982-05-10,5:36 PM
1983-04-29,6:37 PM
1984-05-09,3:33 PM
1985-05-11,2:36 PM
1986-05-08,10:50 PM
1987-05-05,3:11 PM
1988-04-27,9:15 AM
1989-05-01,8:14 PM
1990-04-24,5:19 PM
1991-05-01,12:04 AM
1992-05-14,6:26 AM
1993-04-23,1:01 PM
1994-04-29,11:01 PM
1995-04-26,1:22 PM
1996-05-05,12:32 PM
1997-04-30,10:28 AM
1998-04-20,4:54 PM
1999-04-29,9:47 PM
2000-05-01,10:47 AM
2001-05-08,1:00 PM
2002-05-07,9:27 PM
2003-04-29,6:22 PM
2004-04-24,2:16 PM
2005-04-28,12:01 PM
2006-05-02,5:29 PM
2007-04-27,3:47 PM
2008-05-06,10:53 PM
2009-05-01,8:41 PM
2010-04-29,9:06 AM
2011-05-04,4:24 PM
2012-04-23,7:39 PM
2013-05-20,2:41 PM
2014-04-25,3:48 PM
2015-04-24,2:25 PM
2016-04-23,3:39 PM
2017-05-01,12:00 PM
2018-05-01,1:18 PM
2019-04-14,12:21 AM
