Date,Thickness
2019-01-16,16
2019-02-07,16
2019-02-26,23.5
2019-03-04,32.5
2019-03-13,25.7
2019-03-18,23.8
2019-03-21,26.3
2019-03-25,31.9
2019-03-28,25.3
2018-02-10,28
2018-02-25,34
2018-03-04,36
2018-03-12,28.3
2018-03-19,32
2018-03-26,26.5
2018-04-02,26.8
2018-04-05,26.7
2018-04-09,26.8
2018-04-14,24.7
2018-04-18,25
2017-01-06,35
2017-02-02,35
2017-02-23,31.5
2017-03-05,38
2017-03-16,39.5
2017-03-23,36.3
2017-03-30,39.7
2017-04-03,38.8
2017-04-06,39.5
2017-04-10,39
2017-04-13,37
2017-04-17,35.6
2017-04-20,34.7
2017-04-24,29.7
2016-01-13,25
2016-02-08,33.5
2016-02-22,33
2016-03-01,40
2016-03-06,40
2016-03-10,36
2016-03-16,37.2
2016-03-21,35.3
2016-03-24,38
2016-03-28,36.7
2016-03-31,35.7
2016-04-04,36
2016-04-07,34.8
2016-04-11,34.7
2016-04-14,32.3
2015-02-06,22
2015-02-20,34
2015-03-05,38.5
2015-03-19,35
2015-03-23,35
2015-03-26,35.8
2015-03-30,35.7
2015-04-02,35.5
2015-04-06,33.5
2014-01-07,25.75
2014-02-06,31.0
2014-02-20,34.0
2014-03-02,39.2
2014-03-06,36.8
2014-03-13,38.0
2014-03-20,38.2
2014-03-27,40.2
2014-03-31,36.3
2014-04-03,38.7
2014-04-07,36.8
2014-04-10,38.5
2014-04-14,36.5
2013-01-14,41
2013-02-06,42
2013-02-20,51
2013-03-03,48
2013-03-07,48.7
2013-03-11,52.8
2013-03-14,50
2013-03-18,50.3
2013-03-21,50
2013-03-25,51
2013-03-28,47.2
2013-04-01,49.3
2013-04-04,43.3
2013-04-08,50
2013-04-11,50
2013-04-15,50.3
2013-04-18,49.6
2013-04-22,49.2
2013-04-25,51
2013-04-29,47
2013-05-02,36.7
2013-05-06,40
2012-01-12,23
2012-02-06,33
2012-02-20,33
2012-03-04,34.5
2012-03-12,35.7
2012-03-19,37.7
2012-03-26,40.7
2012-03-29,41.3
2012-04-02,43.3
2012-04-05,44.3
2012-04-09,42.7
2012-04-12,39
2012-04-16,33.7
2012-04-19,28.7
2011-02-08,38.3
2011-02-24,40.75
2011-03-06,45.3
2011-03-10,41.5
2011-03-16,39.66
2011-03-24,42.0
2011-03-31,41.5
2011-04-04,39.9
2011-04-15,42.5
2011-04-18,41.6
2011-04-21,41.4
2011-04-25,39
2010-02-03,44
2010-02-18,50
2010-03-07,47.0
2010-03-17,51.5
2010-03-24,51.25
2010-03-31,50.4
2010-04-05,46.3
2010-04-08,45.3
2010-04-12,44
2010-04-15,45.2
2010-04-19,40.9
2009-02-05,42.5
2009-02-19,45.5
2009-03-05,41.5
2009-03-08,45.0
2009-03-12,43.5
2009-03-19,44
2009-03-25,43.75
2009-04-02,45.00
2009-04-06,46.00
2009-04-09,46.75
2009-04-13,46.4
2009-04-16,44.6
2009-04-20,44.2
2009-04-23,42.7
