Date,Date,Thickness
0,2019-01-16,16
1,2019-02-07,16
2,2019-02-26,23.5
3,2019-03-04,32.5
4,2019-03-13,25.7
5,2019-03-18,23.8
6,2019-03-21,26.3
7,2019-03-25,31.9
8,2019-03-28,25.3
9,2018-02-10,28
10,2018-02-25,34
11,2018-03-04,36
12,2018-03-12,28.3
13,2018-03-19,32
14,2018-03-26,26.5
15,2018-04-02,26.8
16,2018-04-05,26.7
17,2018-04-09,26.8
18,2018-04-14,24.7
19,2018-04-18,25
20,2017-01-06,35
21,2017-02-02,35
22,2017-02-23,31.5
23,2017-03-05,38
24,2017-03-16,39.5
25,2017-03-23,36.3
26,2017-03-30,39.7
27,2017-04-03,38.8
28,2017-04-06,39.5
29,2017-04-10,39
30,2017-04-13,37
31,2017-04-17,35.6
32,2017-04-20,34.7
33,2017-04-24,29.7
34,2016-01-13,13-25
35,2016-02-8,8-33.5
36,2016-02-22,22-33
37,2016-03-01,01-40
38,2016-03-06,40
39,2016-03-10,36
40,2016-03-16,37.2
41,2016-03-21,35.3
42,2016-03-24,38
43,2016-03-28,36.7
44,2016-03-31,35.7
45,2016-04-04,36
46,2016-04-07,34.8
47,2016-04-11,34.7
48,2016-04-14,32.3
49,2015 Ice Measurement-02-06,22
50,2015 Ice Measurement-02-20,34
51,2015 Ice Measurement-03-05,38.5
52,2015 Ice Measurement-03-19,35
53,2015 Ice Measurement-03-23,35
54,2015 Ice Measurement-03-26th,35.8
55,2015 Ice Measurement-03-30th,35.7
56,2015 Ice Measurement-04-02,35.5
57,2015 Ice Measurement-04-06,33.5
58,2015 Ice Measurement-04-06,4/6/15
59,2014-01-07,25.75
60,2014-02-06,31.0
61,2014-02-20,34.0
62,2014-03-02,39.2
63,2014-03-06,36.8
64,2014-03-13,38.0
65,2014-03-20,38.2
66,2014-03-27,40.2
67,2014-03-31,36.3
68,2014-04-03,38.7
69,2014-04-07,36.8
70,2014-04-10,38.5
71,2014-04-14,36.5
72,2013-01-14,41
73,2013-02-06,42
74,2013-02-20,51
75,2013-03-03,48
76,2013-03-07,48.7
77,2013-03-11,52.8
78,2013-03-14,50
79,2013-03-18,50.3
80,2013-03-21,50
81,2013-03-25,51
82,2013-03-28,47.2
83,2013-04-01,49.3
84,2013-04-04,43.3
85,2013-04-08,50
86,2013-04-11,50
87,2013-04-15,50.3
88,2013-04-18,49.6
89,2013-04-22,49.2
90,2013-04-25,51
91,2013-04-29,47
92,2013-05-02,36.7
93,2013-05-06,40
94,2012-01-12,23
95,2012-02-06,33
96,2012-02-20,33
97,2012-03-04,34.5
98,2012-03-12,35.7
99,2012-03-19,37.7
100,2012-03-26,40.7
101,2012-03-29,41.3
102,2012-04-02,43.3
103,2012-04-05,44.3
104,2012-04-09,42.7
105,2012-04-12,39
106,2012-04-16,33.7
107,2012-04-19,28.7
108,2011-02-08,38.3
109,2011-02-24,40.75
110,2011-03-06,45.3
111,2011-03-10,41.5
112,2011-03-16,39.66
113,2011-03-24,42.0
114,2011-03-31,41.5
115,2011-04-04,39.9
116,2011-04-15,42.5
117,2011-04-18,41.6
118,2011-04-21,41.4
119,2011-04-25,39
120,2010-02-03,44
121,2010-02-18,50
122,2010-03-07,47.0
123,2010-03-17,51.5
124,2010-03-24,51.25
125,2010-03-31,50.4
126,2010-04-05,46.3
127,2010-04-08,45.3
128,2010-04-12,44
129,2010-04-15,45.2
130,2010-04-19,40.9
131,2009-02-05,42.5
132,2009-02-19,45.5
133,2009-03-05,41.5
134,2009-03-08,45.0
135,2009-03-12,43.5
136,2009-03-19,44
137,2009-03-25,43.75
138,2009-04-02,45.00
139,2009-04-06,46.00
140,2009-04-09,46.75
141,2009-04-13,46.4
142,2009-04-16,44.6
143,2009-04-20,44.2
144,2009-04-23,42.7
145,2019-01-16,16
146,2019-02-07,16
147,2019-02-26,23.5
148,2019-03-04,32.5
149,2019-03-13,25.7
150,2019-03-18,23.8
151,2019-03-21,26.3
152,2019-03-25,31.9
153,2019-03-28,25.3
154,2018-02-10,28
155,2018-02-25,34
156,2018-03-04,36
157,2018-03-12,28.3
158,2018-03-19,32
159,2018-03-26,26.5
160,2018-04-02,26.8
161,2018-04-05,26.7
162,2018-04-09,26.8
163,2018-04-14,24.7
164,2018-04-18,25
165,2017-01-06,35
166,2017-02-02,35
167,2017-02-23,31.5
168,2017-03-05,38
169,2017-03-16,39.5
170,2017-03-23,36.3
171,2017-03-30,39.7
172,2017-04-03,38.8
173,2017-04-06,39.5
174,2017-04-10,39
175,2017-04-13,37
176,2017-04-17,35.6
177,2017-04-20,34.7
178,2017-04-24,29.7
179,2016-01-13,13-25
180,2016-02-8,8-33.5
181,2016-02-22,22-33
182,2016-03-01,01-40
183,2016-03-06,40
184,2016-03-10,36
185,2016-03-16,37.2
186,2016-03-21,35.3
187,2016-03-24,38
188,2016-03-28,36.7
189,2016-03-31,35.7
190,2016-04-04,36
191,2016-04-07,34.8
192,2016-04-11,34.7
193,2016-04-14,32.3
194,2015 Ice Measurement-02-06,22
195,2015 Ice Measurement-02-20,34
196,2015 Ice Measurement-03-05,38.5
197,2015 Ice Measurement-03-19,35
198,2015 Ice Measurement-03-23,35
199,2015 Ice Measurement-03-26th,35.8
200,2015 Ice Measurement-03-30th,35.7
201,2015 Ice Measurement-04-02,35.5
202,2015 Ice Measurement-04-06,33.5
203,2015 Ice Measurement-04-06,4/6/15
204,2014-01-07,25.75
205,2014-02-06,31.0
206,2014-02-20,34.0
207,2014-03-02,39.2
208,2014-03-06,36.8
209,2014-03-13,38.0
210,2014-03-20,38.2
211,2014-03-27,40.2
212,2014-03-31,36.3
213,2014-04-03,38.7
214,2014-04-07,36.8
215,2014-04-10,38.5
216,2014-04-14,36.5
217,2013-01-14,41
218,2013-02-06,42
219,2013-02-20,51
220,2013-03-03,48
221,2013-03-07,48.7
222,2013-03-11,52.8
223,2013-03-14,50
224,2013-03-18,50.3
225,2013-03-21,50
226,2013-03-25,51
227,2013-03-28,47.2
228,2013-04-01,49.3
229,2013-04-04,43.3
230,2013-04-08,50
231,2013-04-11,50
232,2013-04-15,50.3
233,2013-04-18,49.6
234,2013-04-22,49.2
235,2013-04-25,51
236,2013-04-29,47
237,2013-05-02,36.7
238,2013-05-06,40
239,2012-01-12,23
240,2012-02-06,33
241,2012-02-20,33
242,2012-03-04,34.5
243,2012-03-12,35.7
244,2012-03-19,37.7
245,2012-03-26,40.7
246,2012-03-29,41.3
247,2012-04-02,43.3
248,2012-04-05,44.3
249,2012-04-09,42.7
250,2012-04-12,39
251,2012-04-16,33.7
252,2012-04-19,28.7
253,2011-02-08,38.3
254,2011-02-24,40.75
255,2011-03-06,45.3
256,2011-03-10,41.5
257,2011-03-16,39.66
258,2011-03-24,42.0
259,2011-03-31,41.5
260,2011-04-04,39.9
261,2011-04-15,42.5
262,2011-04-18,41.6
263,2011-04-21,41.4
264,2011-04-25,39
265,2010-02-03,44
266,2010-02-18,50
267,2010-03-07,47.0
268,2010-03-17,51.5
269,2010-03-24,51.25
270,2010-03-31,50.4
271,2010-04-05,46.3
272,2010-04-08,45.3
273,2010-04-12,44
274,2010-04-15,45.2
275,2010-04-19,40.9
276,2009-02-05,42.5
277,2009-02-19,45.5
278,2009-03-05,41.5
279,2009-03-08,45.0
280,2009-03-12,43.5
281,2009-03-19,44
282,2009-03-25,43.75
283,2009-04-02,45.00
284,2009-04-06,46.00
285,2009-04-09,46.75
286,2009-04-13,46.4
287,2009-04-16,44.6
288,2009-04-20,44.2
289,2009-04-23,42.7
290,2008-01-11,38.8
291,2008-01-21,44.0
292,2008-02-15,41.0
293,2008-03-01,51.0
294,2008-03-10,44.5
295,2008-03-17,46.3
296,2008-03-20,47.5
297,2008-03-24,46.0
298,2008-03-28,54.5
299,2008-03-31,47.5
300,2008-04-03,45.6
301,2008-04-07,44.3
302,2008-04-11,45.6
303,2008-04-14,44.3
304,2008-04-17,44.6
305,2008-04-21,40.5
306,2007-01-11,40.5
307,2007-02-07,42.0
308,2007-02-14,44.0
309,2007-02-21,46.0
310,2007-02-28,51.5
311,2007-03-08,46.5
312,2007-03-12,46.0
313,2007-03-15,46.6
314,2007-03-19,49.0
315,2007-03-22,51.0
316,2007-03-26,49.0
317,2007-03-29,48.7
318,2007-04-02,49.7
319,2007-04-05,48.8
320,2007-04-11,46.5
321,2006-01-04,43.0
322,2006-01-31,38.0
323,2006-02-09,35.0
324,2006-02-15,38.0
325,2006-02-23,36.0
326,2006-03-02,45.0
327,2006-03-06,42.0
328,2006-03-09,34.0
329,2006-03-13,32.0
330,2006-03-16,32.5
331,2006-03-20,34.5
332,2006-03-23,34.3
333,2006-03-27,34.0
334,2006-03-30,34.5
335,2006-04-02,32.7
336,2005-01-14,29.0
337,2005-02-08,35.0
338,2005-02-17,40.5
339,2005-02-24,40.0
340,2005-03-03,42.0
341,2005-03-10,33.5
342,2005-03-14,37.0
343,2005-03-17,42.0
344,2005-03-21,36.3
345,2005-03-24,37.0
346,2005-03-28,36.0
347,2005-03-31,36.0
348,2005-04-04,32.0
349,2005-04-07,35.5
350,2005-04-12,40.0
351,2005-04-15,40.0
352,2005-04-19,35.3
353,2005-04-21,35.5
354,2004-01-07,21.5
355,2004-02-04,30.00
356,2004-02-11,35.0
357,2004-02-18,36.5
358,2004-02-25,37.5
359,2004-03-03,25.0
360,2004-03-09,28.0
361,2004-03-15,33.0
362,2004-03-18,33.5
363,2004-03-22,34.5
364,2004-03-25,34.7
365,2004-03-29,35.0
366,2004-04-01,35.5
367,2003-01-13,30.0
368,2003-01-27,41.0
369,2003-02-10,40.0
370,2003-02-24,43.7
371,2003-03-02,43.7
372,2003-03-09,45.8
373,2003-03-17,48.2
374,2003-03-23,47.5
375,2003-03-26,48
376,2003-03-31,47.5
377,2003-04-02,48.2
378,2003-04-06,51.0
379,2003-04-09,47.3
380,2003-04-13,47.6
381,2003-04-16,45.6
382,2003-04-22,38.3
383,2002-01-14,42.0
384,2002-01-28,43.5
385,2002-02-14,47
386,2002-03-03,51
387,2002-03-12,51.5
388,2002-03-17,51
389,2002-03-20,50.5
390,2002-03-24,50.8
391,2002-03-27,49
392,2002-03-31,48
393,2002-04-03,48
394,2002-04-07,48
395,2002-04-11,48
396,2002-04-14,48
397,2002-04-17,45.5
398,2002-04-21,47.3
399,2002-04-25,44
400,2002-04-29,42
401,2001-01-16,34.5
402,2001-02-06,37
403,2001-02-11,33.3
404,2001-02-19,33
405,2001-02-25,44
406,2001-03-04,42
407,2001-03-11,41
408,2001-03-18,37.3
409,2001-03-22,40.3
410,2001-03-26,38.7
411,2001-03-29,39
412,2001-04-02,39.3
413,2001-04-06,38.3
414,2001-04-12,36.3
415,2001-04-16,33.5
416,2000-01-23,31
417,2000-02-13,31
418,2000-02-20,33
419,2000-02-27,33
420,2000-03-05,35
421,2000-03-12,36
422,2000-03-16,35
423,2000-03-19,32.6
424,2000-03-23,35.6
425,2000-03-30,36.7
426,2000-04-02,32.7
427,2000-04-04,37.7
428,2000-04-09,35
429,2000-04-13,36
430,1999-01-14,34
431,1999-02-12,43
432,1999-02-17,45
433,1999-02-24,43
434,1999-03-01,44
435,1999-03-08,44
436,1999-03-11,45
437,1999-03-15,47
438,1999-03-18,46
439,1999-03-22,48
440,1999-03-25,47
441,1999-03-29,43
442,1999-04-01,44
443,1999-04-05,46
444,1999-04-08,47
445,1999-04-12,45
446,1999-04-15,43
447,1998-01-22,41
448,1998-02-05,45
449,1998-02-18,43
450,1998-02-25,38.5
451,1998-03-04,38.5
452,1998-03-08,46
453,1998-03-11,46.5
454,1998-03-18,42.3
455,1998-03-25,42
456,1998-03-30,34.5
457,1998-04-01,34.3
458,1998-04-03,38
459,1997-01-20,31
460,1997-02-04,46
461,1997-02-19,46
462,1997-02-25,46
463,1997-03-04,44
464,1997-03-11,44.5
465,1997-03-18,44.5
466,1997-04-01,43
467,1997-04-04,42.5
468,1997-04-28,36
469,1996-02-10,41
470,1996-02-23,44
471,1996-02-28,46
472,1996-03-06,46
473,1996-03-12,44
474,1996-03-19,45
475,1996-03-25,46.5
476,1996-03-27,45.5
477,1996-04-01,46
478,1996-04-04,45
479,1996-04-08,45
480,1996-04-16,45
481,1996-04-19,43.7
482,1996-04-22,41.5
483,1995-01-27,23
484,1995-02-08,24
485,1995-02-17,24.5
486,1995-02-20,25
487,1995-02-28,29
488,1995-03-06,28
489,1995-03-15,34
490,1995-03-23,32.5
491,1995-03-28,34
492,1995-03-31,34
493,1995-04-07,34
494,1995-04-11,33
495,1995-04-13,32
496,1994-01-20,36.0
497,1994-02-04,43.0
498,1994-02-17,47.5
499,1994-02-24,51.0
500,1994-03-03,51.0
501,1994-03-13,52.0
502,1994-03-24,52.0
503,1994-03-28,55.0
504,1994-03-31,58.0
505,1994-04-03,51.0
506,1994-04-08,54.0
507,1994-04-14,57.5
508,1994-04-18,52.0
509,1994-04-22,51.0
510,1993-02-20,30
511,1993-02-26,30
512,1993-03-06,29
513,1993-03-24,26
514,1993-03-31,28
515,1993-04-01,27
516,1993-04-02,25
517,1993-04-04,26
518,1993-04-06,24
519,1993-04-08,26
520,1993-04-09,25
521,1992-02-24,42
522,1992-03-01,42
523,1992-03-10,46
524,1992-03-14,46
525,1992-03-24,42
526,1992-03-27,45
527,1992-03-30,45
528,1992-04-01,45
529,1992-04-03,47
530,1992-04-11,47
531,1992-04-13,47
532,1992-04-15,47
533,1992-04-18,47
534,1992-04-22,47
535,1991-02-14,28
536,1991-02-25,28
537,1991-03-05,36
538,1991-03-17,33
539,1991-03-26,35
540,1991-04-01,38
541,1991-04-08,42
542,1991-04-10,39.5
543,1991-04-18,38
544,1990-02-25,35
545,1990-03-09,38
546,1990-03-19,42
547,1990-03-23,40
548,1990-03-26,41
549,1990-03-30,36
550,2019-01-16,16
551,2019-02-07,16
552,2019-02-26,23.5
553,2019-03-04,32.5
554,2019-03-13,25.7
555,2019-03-18,23.8
556,2019-03-21,26.3
557,2019-03-25,31.9
558,2019-03-28,25.3
559,2018-02-10,28
560,2018-02-25,34
561,2018-03-04,36
562,2018-03-12,28.3
563,2018-03-19,32
564,2018-03-26,26.5
565,2018-04-02,26.8
566,2018-04-05,26.7
567,2018-04-09,26.8
568,2018-04-14,24.7
569,2018-04-18,25
570,2017-01-06,35
571,2017-02-02,35
572,2017-02-23,31.5
573,2017-03-05,38
574,2017-03-16,39.5
575,2017-03-23,36.3
576,2017-03-30,39.7
577,2017-04-03,38.8
578,2017-04-06,39.5
579,2017-04-10,39
580,2017-04-13,37
581,2017-04-17,35.6
582,2017-04-20,34.7
583,2017-04-24,29.7
584,2016-01-13,13-25
585,2016-02-8,8-33.5
586,2016-02-22,22-33
587,2016-03-01,01-40
588,2016-03-06,40
589,2016-03-10,36
590,2016-03-16,37.2
591,2016-03-21,35.3
592,2016-03-24,38
593,2016-03-28,36.7
594,2016-03-31,35.7
595,2016-04-04,36
596,2016-04-07,34.8
597,2016-04-11,34.7
598,2016-04-14,32.3
599,2015 Ice Measurement-02-06,22
600,2015 Ice Measurement-02-20,34
601,2015 Ice Measurement-03-05,38.5
602,2015 Ice Measurement-03-19,35
603,2015 Ice Measurement-03-23,35
604,2015 Ice Measurement-03-26th,35.8
605,2015 Ice Measurement-03-30th,35.7
606,2015 Ice Measurement-04-02,35.5
607,2015 Ice Measurement-04-06,33.5
608,2015 Ice Measurement-04-06,4/6/15
609,2014-01-07,25.75
610,2014-02-06,31.0
611,2014-02-20,34.0
612,2014-03-02,39.2
613,2014-03-06,36.8
614,2014-03-13,38.0
615,2014-03-20,38.2
616,2014-03-27,40.2
617,2014-03-31,36.3
618,2014-04-03,38.7
619,2014-04-07,36.8
620,2014-04-10,38.5
621,2014-04-14,36.5
622,2013-01-14,41
623,2013-02-06,42
624,2013-02-20,51
625,2013-03-03,48
626,2013-03-07,48.7
627,2013-03-11,52.8
628,2013-03-14,50
629,2013-03-18,50.3
630,2013-03-21,50
631,2013-03-25,51
632,2013-03-28,47.2
633,2013-04-01,49.3
634,2013-04-04,43.3
635,2013-04-08,50
636,2013-04-11,50
637,2013-04-15,50.3
638,2013-04-18,49.6
639,2013-04-22,49.2
640,2013-04-25,51
641,2013-04-29,47
642,2013-05-02,36.7
643,2013-05-06,40
644,2012-01-12,23
645,2012-02-06,33
646,2012-02-20,33
647,2012-03-04,34.5
648,2012-03-12,35.7
649,2012-03-19,37.7
650,2012-03-26,40.7
651,2012-03-29,41.3
652,2012-04-02,43.3
653,2012-04-05,44.3
654,2012-04-09,42.7
655,2012-04-12,39
656,2012-04-16,33.7
657,2012-04-19,28.7
658,2011-02-08,38.3
659,2011-02-24,40.75
660,2011-03-06,45.3
661,2011-03-10,41.5
662,2011-03-16,39.66
663,2011-03-24,42.0
664,2011-03-31,41.5
665,2011-04-04,39.9
666,2011-04-15,42.5
667,2011-04-18,41.6
668,2011-04-21,41.4
669,2011-04-25,39
670,2010-02-03,44
671,2010-02-18,50
672,2010-03-07,47.0
673,2010-03-17,51.5
674,2010-03-24,51.25
675,2010-03-31,50.4
676,2010-04-05,46.3
677,2010-04-08,45.3
678,2010-04-12,44
679,2010-04-15,45.2
680,2010-04-19,40.9
681,2009-02-05,42.5
682,2009-02-19,45.5
683,2009-03-05,41.5
684,2009-03-08,45.0
685,2009-03-12,43.5
686,2009-03-19,44
687,2009-03-25,43.75
688,2009-04-02,45.00
689,2009-04-06,46.00
690,2009-04-09,46.75
691,2009-04-13,46.4
692,2009-04-16,44.6
693,2009-04-20,44.2
694,2009-04-23,42.7
695,2008-01-11,38.8
696,2008-01-21,44.0
697,2008-02-15,41.0
698,2008-03-01,51.0
699,2008-03-10,44.5
700,2008-03-17,46.3
701,2008-03-20,47.5
702,2008-03-24,46.0
703,2008-03-28,54.5
704,2008-03-31,47.5
705,2008-04-03,45.6
706,2008-04-07,44.3
707,2008-04-11,45.6
708,2008-04-14,44.3
709,2008-04-17,44.6
710,2008-04-21,40.5
711,2007-01-11,40.5
712,2007-02-07,42.0
713,2007-02-14,44.0
714,2007-02-21,46.0
715,2007-02-28,51.5
716,2007-03-08,46.5
717,2007-03-12,46.0
718,2007-03-15,46.6
719,2007-03-19,49.0
720,2007-03-22,51.0
721,2007-03-26,49.0
722,2007-03-29,48.7
723,2007-04-02,49.7
724,2007-04-05,48.8
725,2007-04-11,46.5
726,2006-01-04,43.0
727,2006-01-31,38.0
728,2006-02-09,35.0
729,2006-02-15,38.0
730,2006-02-23,36.0
731,2006-03-02,45.0
732,2006-03-06,42.0
733,2006-03-09,34.0
734,2006-03-13,32.0
735,2006-03-16,32.5
736,2006-03-20,34.5
737,2006-03-23,34.3
738,2006-03-27,34.0
739,2006-03-30,34.5
740,2006-04-02,32.7
741,2005-01-14,29.0
742,2005-02-08,35.0
743,2005-02-17,40.5
744,2005-02-24,40.0
745,2005-03-03,42.0
746,2005-03-10,33.5
747,2005-03-14,37.0
748,2005-03-17,42.0
749,2005-03-21,36.3
750,2005-03-24,37.0
751,2005-03-28,36.0
752,2005-03-31,36.0
753,2005-04-04,32.0
754,2005-04-07,35.5
755,2005-04-12,40.0
756,2005-04-15,40.0
757,2005-04-19,35.3
758,2005-04-21,35.5
759,2004-01-07,21.5
760,2004-02-04,30.00
761,2004-02-11,35.0
762,2004-02-18,36.5
763,2004-02-25,37.5
764,2004-03-03,25.0
765,2004-03-09,28.0
766,2004-03-15,33.0
767,2004-03-18,33.5
768,2004-03-22,34.5
769,2004-03-25,34.7
770,2004-03-29,35.0
771,2004-04-01,35.5
772,2003-01-13,30.0
773,2003-01-27,41.0
774,2003-02-10,40.0
775,2003-02-24,43.7
776,2003-03-02,43.7
777,2003-03-09,45.8
