Date,time,sunriseTime,sunsetTime,moonPhase,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,windSpeed,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,pressure,precipType,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipAccumulation,windGust,windGustTime,icon,precipProbability,summary,ozone
1989-01-01,599648400.0,599687760.0,599702820.0,0.81,15.77,599673600.0,10.7,599716800.0,13.85,599701380.0,3.04,599716800.0,9.34,0.83,4.67,148.0,0.18,0.0,599695200.0,6.937,3.68,599713080.0,25.8,599729400.0,-0.36,599688120.0,16.2,599667480.0,,,,,,,,,,,,
1989-01-02,599734800.0,599774040.0,599789340.0,0.84,17.8,599788620.0,-10.28,599842380.0,15.37,599778360.0,-10.55,599826840.0,9.01,0.8,4.3,131.0,0.16,0.0,599781600.0,6.863,-8.27,599817600.0,24.93,599737440.0,-8.12,599815320.0,15.46,599737920.0,,,,,,,,,,,,
1989-01-03,599821200.0,599860380.0,599875920.0,0.88,4.69,599878800.0,-16.58,599912040.0,3.28,599886000.0,-27.35,599921820.0,-11.46,0.69,2.26,104.0,0.22,0.0,599868000.0,5.733,-10.28,599842380.0,4.69,599878800.0,-10.55,599826840.0,3.28,599886000.0,,,,,,,,,,,,
1989-01-04,599907600.0,599946720.0,599962440.0,0.91,7.67,599940000.0,2.57,600009240.0,0.52,599940000.0,-10.02,599976000.0,-13.56,0.6,7.51,69.0,0.17,0.0,599954460.0,7.155,-16.58,599912040.0,7.67,599940000.0,-27.35,599921820.0,2.19,599932800.0,,,,,,,,,,,,
1989-01-05,599994000.0,600033000.0,600048960.0,0.94,14.7,600058800.0,10.64,600062820.0,5.23,600058740.0,-4.79,600081300.0,1.29,0.71,7.3,78.0,0.13,0.0,600044400.0,7.031,2.57,600009240.0,14.7,600058800.0,-3.95,600008520.0,8.39,600004500.0,,,,,,,,,,,,
1989-01-06,600080400.0,600119280.0,600135540.0,0.98,17.79,600145200.0,5.76,600158820.0,8.92,600145380.0,-3.19,600156420.0,4.1,0.69,10.3,66.0,0.13,0.0,600127260.0,7.334,5.76,600158820.0,17.79,600145200.0,-4.79,600081300.0,8.92,600145380.0,,,,,,,,,,,,
1989-01-07,600166800.0,600205560.0,600222120.0,0.02,9.71,600192000.0,2.79,600242400.0,9.6,600193920.0,-9.07,600271200.0,3.26,0.84,2.7,298.0,0.22,0.0,600213660.0,5.348,2.79,600242400.0,9.71,600192000.0,-4.36,600199200.0,9.6,600193920.0,,,,,,,,,,,,
1989-01-08,600253200.0,600291840.0,600308640.0,0.05,7.17,600313620.0,-8.68,600333000.0,6.32,600314520.0,-13.13,600350400.0,-1.42,0.82,4.2,76.0,0.1,0.0,600300120.0,7.053,-8.68,600333000.0,7.17,600313620.0,-10.17,600296340.0,6.32,600314520.0,,,,,,,,,,,,
1989-01-09,600339600.0,600378120.0,600395220.0,0.09,2.71,600372360.0,-0.51,600424200.0,2.21,600372360.0,-18.46,600422700.0,-4.0,0.83,3.52,79.0,0.19,0.0,600386520.0,6.3,-4.24,600390360.0,3.84,600412020.0,-18.43,600422400.0,2.21,600372360.0,,,,,,,,,,,,
1989-01-10,600426000.0,600464400.0,600481800.0,0.13,13.87,600491820.0,12.69,600494400.0,4.09,600491040.0,-0.63,600494940.0,0.95,0.76,10.79,74.0,0.11,0.0,600472800.0,7.128,-0.26,600426000.0,17.79,600508800.0,-17.23,600436560.0,4.09,600491040.0,,,,,,,,,,,,
