Date,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipIntensityMaxTime,precipType,precipAccumulation,ozone
2009-04-01,1238572800,Partly cloudy throughout the day.,partly-cloudy-day,1238598720,1238647800,0.24,0,0,0,22.56,1238623320,-12.43,1238681040,17.69,1238608560,-19.98,1238684760,4.84,0.64,1014.8,4.44,24.3,1238631060,252,0.62,2,1238623200,9.762,6.49,1238579280,22.56,1238623320,-0.27,1238579940,17.69,1238608560,,,,
2009-04-02,1238659200,Partly cloudy throughout the day.,partly-cloudy-day,1238684940,1238734380,0.27,0,0,0,24.72,1238726100,-5.6,1238773740,19.24,1238727360,-5.11,1238773740,-4.96,0.57,1019.5,2.97,11.84,1238706420,90,0.39,2,1238706240,9.997,-12.43,1238681040,24.72,1238726100,-19.98,1238684760,20.02,1238735040,,,,
2009-04-03,1238745600,Clear throughout the day.,clear-day,1238771100,1238820960,0.31,0,0,0,31.73,1238804700,1.47,1238860440,29.2,1238798700,-7.95,1238859660,-1.65,0.51,1015.2,2.58,13.08,1238770620,324,0.21,3,1238796000,9.997,-5.6,1238773740,31.73,1238804700,-5.11,1238773740,29.2,1238798700,,,,
2009-04-04,1238832000,Clear throughout the day.,clear-day,1238857260,1238907540,0.34,0,0,0,25.51,1238896800,-7.65,1238944860,20.35,1238896920,-7.83,1238929200,1.81,0.58,1022.7,4.13,16.16,1238878740,314,0.3,3,1238883060,9.997,1.47,1238860440,25.51,1238896800,-7.95,1238859660,20.35,1238896920,,,,
2009-04-05,1238918400,Clear throughout the day.,clear-day,1238943480,1238994120,0.38,0,0,0,31.85,1238985180,-6.38,1239029400,27.17,1238984220,-5.89,1239029400,0.86,0.58,1018.9,2.51,13.69,1238939580,66,0,3,1238968740,9.997,-7.65,1238944860,31.85,1238985180,-7.83,1238929200,28.09,1238989980,,,,
2009-04-06,1239004800,Clear throughout the day.,clear-day,1239029640,1239080700,0.42,0,0,0,36.67,1239071820,2.47,1239117600,36.17,1239068640,2.96,1239117600,4.15,0.57,1015.5,1.22,9.32,1239008400,311,0,3,1239055140,9.997,-6.38,1239029400,36.67,1239071820,-5.89,1239029400,36.17,1239068640,,,,
2009-04-07,1239091200,Clear throughout the day.,clear-day,1239115800,1239167280,0.45,0,0,0,40.68,1239153600,8.54,1239199200,40.05,1239159480,9.03,1239199200,6.74,0.52,1014.1,1.33,13.06,1239174000,28,0,3,1239141540,9.997,2.47,1239117600,40.68,1239153600,2.96,1239117600,40.05,1239159480,,,,
2009-04-08,1239177600,Partly cloudy throughout the day.,partly-cloudy-day,1239202020,1239253860,0.49,0,0,0,40.58,1239241920,24.26,1239291240,39.37,1239239400,24.94,1239290280,8.45,0.5,1008.2,2.65,18.09,1239177960,280,0.35,3,1239229320,9.997,8.54,1239199200,40.58,1239241920,9.03,1239199200,39.37,1239239400,,,,
2009-04-09,1239264000,Clear throughout the day.,partly-cloudy-day,1239288180,1239340440,0.52,0,0,0,40.61,1239326400,24.56,1239372000,35.17,1239325200,20.26,1239372420,19.66,0.63,1000,4.1,20.66,1239332460,108,0.45,3,1239314280,9.997,24.26,1239291240,40.61,1239326400,19.47,1239300120,35.17,1239325200,,,,
2009-04-10,1239350400,Clear throughout the day.,clear-day,1239374400,1239427080,0.55,0,0,0,45.57,1239418560,29.22,1239464220,40.74,1239418800,26.06,1239465360,13.53,0.42,991.5,4.6,19.54,1239404580,89,0.01,3,1239400380,9.997,24.56,1239372000,45.57,1239418560,20.26,1239372420,40.74,1239418860,,,,
2009-04-11,1239436800,Clear throughout the day.,clear-day,1239460560,1239513660,0.59,0,0,0,47.53,1239501660,25.35,1239546180,47.03,1239501660,23.07,1239551760,17.52,0.42,994,2.63,13.67,1239436860,35,0.28,3,1239487080,9.997,29.22,1239464220,47.53,1239501660,26.06,1239465360,47.03,1239501660,,,,
2009-04-12,1239523200,Clear throughout the day.,clear-day,1239546720,1239600240,0.62,0,0,0,47.16,1239582480,24.22,1239636600,45.55,1239580740,19.19,1239634920,18.35,0.51,1006.4,2.62,13.06,1239523200,302,0.15,3,1239573480,9.997,25.35,1239546180,47.16,1239582480,23.07,1239551760,45.55,1239580740,,,,
2009-04-13,1239609600,Mostly cloudy throughout the day.,partly-cloudy-day,1239632940,1239686820,0.65,0,0,0,44.52,1239667200,18.36,1239720420,44.03,1239667080,18.85,1239720420,19.11,0.57,1013.4,2.81,10.57,1239681420,270,0.52,2,1239659880,9.997,24.22,1239636600,44.52,1239667200,19.19,1239634920,44.03,1239667080,,,,
2009-04-14,1239696000,Clear throughout the day.,clear-day,1239719100,1239773400,0.68,0,0,0,43.55,1239755460,27.96,1239811200,41.18,1239756660,27.32,1239786000,18.56,0.57,1016,2.17,11.2,1239760680,292,0.26,3,1239746220,9.997,18.36,1239720420,43.55,1239755460,18.85,1239720420,41.18,1239756660,,,,
2009-04-15,1239782400,Partly cloudy throughout the day.,partly-cloudy-day,1239805260,1239859980,0.71,0,0,0,39.89,1239842400,22.38,1239892440,37.15,1239839880,18.18,1239897600,21.46,0.62,1017,3.37,14.29,1239850740,314,0.54,3,1239826320,9.997,27.96,1239811200,39.89,1239842400,27.32,1239786000,37.15,1239839880,,,,
2009-04-16,1239868800,Partly cloudy throughout the day.,partly-cloudy-day,1239891480,1239946560,0.74,0,0,0,41.67,1239924600,23.46,1239981600,36.85,1239916560,20.11,1239980820,17.66,0.55,1018.8,5.67,21.99,1239938220,347,0.43,3,1239915240,9.997,22.38,1239892440,41.67,1239924600,18.18,1239897600,36.85,1239916560,,,,
